date,nav,units,fund_value,cash,total_value,fund_cost,total_deposit,unrealized_gain,unrealized_gain_pct,drawdown_pct,last_peak_nav,tp_sell_cash,dip_buy_cash,note
2016-03-15,2.4607,1267.0742465830813,3117.8895985669883,1.8144970438947525,3119.704095610883,3498.185502956106,3500.0,-380.2959043891178,-10.871233216984995,-21.67366946778711,3.1416,0.0,1.2096646959298352,回撤 -21.67%，逢低买入 0.49 份，花费 1.21
2016-03-16,2.4484,1267.3706845905792,3103.0303841515743,1.0886982263368514,3104.119082377911,3498.911301773664,3500.0,-395.8809176220898,-11.314402780699536,-22.065189712248536,3.1416,0.0,0.7257988175579011,回撤 -22.07%，逢低买入 0.30 份，花费 0.73
2016-03-17,2.5257,1267.5431038369406,3201.433617360961,0.6532189358021108,3202.086836296763,3499.3467810641987,3500.0,-297.91316370323784,-8.513393565773965,-19.604660045836514,3.1416,0.0,0.4354792905347406,回撤 -19.60%，逢低买入 0.17 份，花费 0.44
2016-03-18,2.6001,1267.643595192781,3296.0001118607497,0.39193136148126645,3296.3920432222308,3499.6080686385194,3500.0,-203.6079567777697,-5.818021697983481,-17.23644003055768,3.1416,0.0,0.2612875743208443,回撤 -17.24%，逢低买入 0.10 份，花费 0.26
2016-03-21,2.6334,1267.7031275633258,3338.369416125262,0.23515881688875986,3338.6045749421505,3499.764841183112,3500.0,-161.39542505784993,-4.611607704570501,-16.176470588235293,3.1416,0.0,0.15677254459250659,回撤 -16.18%，逢低买入 0.06 份，花费 0.16
2016-03-22,2.6448,1267.7386930226253,3352.9152953062394,0.14109529013325592,3353.0563905963727,3499.8589047098676,3500.0,-146.94360940362822,-4.1985580963244455,-15.813598166539341,3.1416,0.0,0.09406352675550395,回撤 -15.81%，逢低买入 0.04 份，花费 0.09
2016-03-23,2.67,1267.7598308938063,3384.918748486463,0.08465717407995355,3385.0034056605427,3499.915342825921,3500.0,-114.99659433945817,-3.285696454777874,-15.01145912910619,3.1416,0.0,0.05643811605330237,回撤 -15.01%，逢低买入 0.02 份，花费 0.06
2016-03-24,2.6603,1267.7725598603258,3372.6553409964245,0.05079430444797212,3372.7061353008726,3499.949205695553,3500.0,-127.29386469912833,-3.637020345666158,-15.320218996689587,3.1416,0.0,0.03386286963198142,回撤 -15.32%，逢低买入 0.01 份，花费 0.03
2016-03-25,2.6812,1267.78013770673,3399.1721052192847,0.030476582668783274,3399.2025818019533,3499.969523417332,3500.0,-100.79741819804713,-2.879951311679698,-14.654952890247005,3.1416,0.0,0.02031772177918885,回撤 -14.65%，逢低买入 0.01 份，花费 0.02
2016-03-28,2.6701,1267.7847033159087,3385.111936323808,0.018285949601269964,3385.1302222734093,3499.981714050399,3500.0,-114.86977772659111,-3.2820107963837497,-15.008276037687796,3.1416,0.0,0.01219063306751331,回撤 -15.01%，逢低买入 0.00 份，花费 0.01
2016-03-29,2.6298,1267.787484660437,3334.027527160017,0.010971569760761978,3334.038498729778,3499.9890284302396,3500.0,-165.96150127022247,-4.741772043344288,-16.291061879297175,3.1416,0.0,0.0073143798405079855,回撤 -16.29%，逢低买入 0.00 份，花费 0.01
2016-03-30,2.7123,1267.789102707078,3438.6243832724076,0.0065829418564571866,3438.630966214264,3499.993417058144,3500.0,-61.36903378573652,-1.7534042631805618,-13.665011459129106,3.1416,0.0,0.004388627904304792,回撤 -13.67%，逢低买入 0.00 份，花费 0.00
